GeneID,Tc_ant_1,Tc_ant_2,Tc_ant_3,Tc_ant_5,Tc_leg_1,Tc_leg_2,danaus_leg1,danaus_leg3,danaus_leg4,danaus_leg5,danaus_leg6,danaus_ant1,danaus_ant2,danaus_ant3,danaus_ant4,danaus_ant5,mel_an1,mel_an2,mel_an3,mel_an4,mel_an5,mel_an6,mel_leg1,mel_leg2,mel_leg3,mel_leg4
TC000524,1641,1117,1948,469,32,342,1640,1574,1628,141,15177,2491,1958,1899,1617,2438,1,0,0,1,0,0,4,1,1,5
TC000526,3601,22,256,10,0,1427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000527,1465,1808,1367,679,34,168,0,1,1,0,37,298,385,192,466,123,10,72,26,24,6,14,629,105,571,450
TC000528,1437,867,1610,382,65,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000529,0,0,0,0,0,0,736,552,456,58,5312,705,290,259,331,655,869,2697,1028,1593,791,781,1169,498,1748,1586
TC000530,5070,1408,5695,634,97,583,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,0,2,0
TC000531,5573,3647,5410,1051,147,1560,258,312,124,31,2394,266,91,67,185,499,121,398,185,146,115,109,43,37,74,262
TC000533,3322,2360,3419,982,221,1724,329,266,204,36,3481,371,227,107,205,292,109,309,159,219,139,84,67,27,74,135
TC000534,2823,1091,3305,465,157,1045,329,266,204,36,3481,371,227,107,205,292,109,309,159,219,139,84,67,27,74,135
TC000537,9164,5826,8631,1440,154,2036,316,423,173,44,5653,1117,756,459,335,1047,0,0,0,0,0,0,0,0,0,0
TC000538,0,0,0,0,0,0,873,745,499,78,4215,2092,942,912,309,597,0,0,0,0,0,0,0,0,0,0
TC000539,2420,1222,1620,271,31,573,621,417,335,42,4534,340,315,308,200,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000540,0,0,0,0,0,0,577,461,531,37,10640,865,537,372,300,513,1795,6537,3202,1461,3230,2219,1561,1290,5146,5335
TC000541,11075,5592,11389,2727,508,4167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000542,8652,6754,6670,1334,476,5774,405,378,142,52,5506,1055,781,467,372,1089,154,722,216,286,116,114,20,6,12,30
TC000543,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,91,324,141,193,96,112,103,20,86,147
TC000546,0,0,0,0,0,0,119,104,183,9,715,293,397,94,77,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000549,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000558,383,14,42,3,0,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
